time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout
,,,,,,,,,,,1
7:24:28,,,,,,,,,,,
7:24:29,,ff,,,,,,,,,
7:25:00,,as,,,,,,,,,
7:25:01,,,,,,,,,,,
7:25:02,,,,,,,,,,,
7:25:03,,,,,,,,,,,
7:25:04,,,as,,,,,,,,
7:25:05,,,,as,,,,,,,
7:25:06,,,,,,,,,,,
7:25:07,,af,,h,,,,,,,
7:25:08,af,,h,,,,,,,,
,,,,,,,,a,ff2,2,
,,,,,,,,,,,20
7:37:28,fs,fs,,,,,,,,,
7:37:29,,,,,,,,,,,
7:38:00,,,,,,,,,,,
7:38:01,,,,,,,,,,,
7:38:02,,,,,,,,,,,
7:38:03,,,,,,,,,,,
7:38:04,,,,,,,,,,,
7:38:05,,ff,,,,,,,,,
7:38:06,ff,fs,,,,,,,,,
7:38:07,as,,,,,,,,,,
7:38:08,,,,,,,,,,,
7:38:09,,,,,,,,,,,
7:38:10,,,,,,,,,,,
7:38:11,,,,,,,,,,,
7:38:12,,ff,,,,,,,,,
7:38:13,,as,,,,,,,,,
7:38:14,,,,,,,,,,,
7:38:15,,,,,,,,,,,
7:38:16,,,as,,,,,,,,
7:38:17,,,,,,,,,,,
7:38:18,,,,as,,,,,,,
7:38:19,af,,,,,,,,,,
7:38:20,,,h,,,,,,,,
7:38:21,,af,,h,,,,,,,
,,,,,,,,a,ff1,1,
,,,,,,,,,,,
,,,,,,,,,,,21
8:52:18,fs,fs,,,,,,,,,
8:52:19,,,,,,,,,,,
8:52:20,,,,,,,,,,,
8:52:21,,,,,,,,,,,
8:52:22,,,,,,,,,,,
8:52:23,,,,,,,,,,,
8:52:24,,,,,,,,,,,
8:52:25,,,,,,,,,,,
8:52:26,,,,,,,,,,,
8:52:27,ff,ff,,,,,,,,,
8:52:28,fs,fs,,,,,,,,,
8:52:29,,,,,,,,,,,
8:53:00,,,,,,,,,,,
8:53:01,,ff,,,,,,,,,
8:53:02,,as,,,,,,,,,
8:53:03,,,,,,,,,,,
8:53:04,,,,,,,,,,,
8:53:05,,,,,,,,,,,
8:53:06,ff,,,,,,,,,,
8:53:07,bs,,,as,,,,,,,
8:53:08,,,ps,,,,,,,,
8:53:09,,,,,,,,,,,
8:53:10,,,,,,,,,,,
8:53:11,,af,p,ap,,,,,,,
8:53:12,,,rs,,,,,,,,
8:53:13,,,,,,,,,,,
8:53:14,,,,,,,,,,,
8:53:15,bf,,,,,,,,,,
8:53:16,bs,,,,,,,,,,
8:53:17,,,h,,,,,,,,
,,,,,,,,r,bfr,1,
,,,,,,,,,,,22
